op[0][5][20]=Max([0][10][20]:0.000000	[0][11][20]:0.000000	[1][10][20]:0.000000	[1][11][20]:0.000000)=0.000000
op[0][5][21]=Max([0][10][21]:0.000000	[0][11][21]:0.000000	[1][10][21]:0.000000	[1][11][21]:0.000000)=0.000000
op[0][5][22]=Max([0][10][22]:0.000000	[0][11][22]:0.000000	[1][10][22]:0.000000	[1][11][22]:0.000000)=0.000000
op[0][5][23]=Max([0][10][23]:0.000000	[0][11][23]:0.000000	[1][10][23]:0.000000	[1][11][23]:0.000000)=0.000000
op[0][5][24]=Max([0][10][24]:0.000000	[0][11][24]:0.000000	[1][10][24]:0.000000	[1][11][24]:0.000000)=0.000000
op[0][5][25]=Max([0][10][25]:0.000000	[0][11][25]:0.000000	[1][10][25]:0.000000	[1][11][25]:0.000000)=0.000000
op[0][5][26]=Max([0][10][26]:0.000000	[0][11][26]:0.000000	[1][10][26]:0.000000	[1][11][26]:0.000000)=0.000000
op[0][5][27]=Max([0][10][27]:0.000000	[0][11][27]:0.000000	[1][10][27]:0.000000	[1][11][27]:0.000000)=0.000000
op[0][5][28]=Max([0][10][28]:0.000000	[0][11][28]:0.000000	[1][10][28]:0.000000	[1][11][28]:0.000000)=0.000000
op[0][5][29]=Max([0][10][29]:0.000000	[0][11][29]:0.000000	[1][10][29]:0.000000	[1][11][29]:0.000000)=0.000000
op[0][5][30]=Max([0][10][30]:0.000000	[0][11][30]:0.000000	[1][10][30]:0.000000	[1][11][30]:0.000000)=0.000000
op[0][5][31]=Max([0][10][31]:0.000000	[0][11][31]:0.000000	[1][10][31]:0.000000	[1][11][31]:0.000000)=0.000000
op[0][6][0]=Max([0][12][0]:0.000000	[0][13][0]:0.000000	[1][12][0]:0.000000	[1][13][0]:0.000000)=0.000000
op[0][6][1]=Max([0][12][1]:0.000000	[0][13][1]:0.000000	[1][12][1]:0.000000	[1][13][1]:0.000000)=0.000000
op[0][6][2]=Max([0][12][2]:0.000000	[0][13][2]:0.000000	[1][12][2]:0.000000	[1][13][2]:0.000000)=0.000000
op[0][6][3]=Max([0][12][3]:0.000000	[0][13][3]:0.000000	[1][12][3]:0.000000	[1][13][3]:0.000000)=0.000000
op[0][6][4]=Max([0][12][4]:0.000000	[0][13][4]:0.000000	[1][12][4]:0.000000	[1][13][4]:0.000000)=0.000000
op[0][6][5]=Max([0][12][5]:0.000000	[0][13][5]:0.000000	[1][12][5]:0.000000	[1][13][5]:0.000000)=0.000000
op[0][6][6]=Max([0][12][6]:0.068489	[0][13][6]:0.068489	[1][12][6]:0.068489	[1][13][6]:0.068489)=0.068489
op[0][6][7]=Max([0][12][7]:0.000000	[0][13][7]:0.000000	[1][12][7]:0.000000	[1][13][7]:0.000000)=0.000000
